Subject,Image-based PDFs,Text-based PDFs,Corrupted PDFs,Total PDFs
الاجتماعيات,0,40,0,40
التربية الاسلامية,0,42,0,42
التكنولوجيا الصناعية,0,11,0,11
الرياضيات,81,72,0,153
الرياضيات – خيار فرنسية,32,32,0,64
الفيزياء والكيمياء,4,95,6,105
الفيزياء والكيمياء – خيار فرنسية,19,207,2,228
اللغة العربية,0,87,29,116
اللغة الفرنسية,0,48,0,48
المعلوميات,2,13,0,15
علوم الحياة والارض,6,23,1,30
علوم الحياة والارض – خيار فرنسية,8,21,0,29
Total,152,691,38,881
